name,positions,rating,nationality,club,league
Ezra Santos,LB;RB,73,Chile,Girona,La Liga
Logan Rivera,GK,66,Ukraine,Sevilla,La Liga
Nicolás Kowalski,LWB;RWB,76,Canada,Portland Timbers,MLS
Oliver Carter,LM,65,Ecuador,Girona,La Liga
Ryan Lee 3,LM,91,Germany,Marseille,Ligue 1
Carter Sanchez 3,LB,81,Denmark,NYCFC,MLS
Leo Scott 3,CB;CM,85,Norway,Chicago Fire,MLS
Theodore Arslan,RM,73,Canada,Austin FC,MLS
David Roberts,LM,75,Tunisia,Toulouse,Ligue 1
Ethan Aydın,RW,90,Cameroon,Al Shabab,SPL
Dylan Mitchell,LW,90,Germany,Inter Miami,MLS
Gabriel Rossi,LB,89,Canada,Chicago Fire,MLS
Ryan Rodriguez,RWB;CDM;RM,83,Italy,Marseille,Ligue 1
Josiah Doğan 3,RW;RWB;CM,80,Paraguay,Juventus,Serie A
Joseph Ramirez,RWB,80,Norway,Marseille,Ligue 1
Samuel Torres,RB,90,Cameroon,Eintracht Frankfurt,Bundesliga
Rúben Conti,LWB,86,Germany,Barcelona,La Liga
Mason Martinez,LM,83,Mexico,Liverpool,Premier League
David Santos,CB,86,Australia,Nantes,Ligue 1
Dylan Johnson,LWB,76,Mexico,Bayer Leverkusen,Bundesliga
Álvaro Mitchell,ST,71,France,Nice,Ligue 1
Nicolás Nelson,RM,81,Morocco,Al Ittihad,SPL
André Lewis,RB,77,USA,Real Madrid,La Liga
William Santos,CB;LB;LW,88,USA,Bayern Munich,Bundesliga
Aiden Smith,CB;CM,87,Norway,Trabzonspor,Süper Lig
Hudson Brown 3,RW,87,Netherlands,Valencia,La Liga
Rúben Davis,RWB,66,England,Aston Villa,Premier League
Daniel Brown,CB,82,Peru,LAFC,MLS
Hudson Campbell 3,CM;CAM;LB,67,Denmark,Seattle Sounders,MLS
Mateo Williams,RWB,81,Mexico,Lille,Ligue 1
Hudson Flores,GK,89,Norway,Bayer Leverkusen,Bundesliga
Mateo Bianchi,GK,73,Germany,Real Sociedad,La Liga
James Kılıç,GK,79,Uruguay,PSV,Eredivisie
Santiago Rodriguez,CB,76,Germany,Monchengladbach,Bundesliga
João Jackson,RWB,86,Germany,Henan,CSL
Mário Yılmaz,ST,75,Turkey,Antalyaspor,Süper Lig
Caleb Lopez,RM,68,Australia,Wuhan Three Towns,CSL
Andrew Green,LM,81,Brazil,Tianjin Jinmen Tiger,CSL
François Davis,LWB,76,Tunisia,Utrecht,Eredivisie
Levi Nguyen,GK,87,Serbia,LAFC,MLS
Alexander Taylor,LW,72,Nigeria,Arsenal,Premier League
Alexander Baker,CAM;RB;LW,67,Netherlands,Real Madrid,La Liga
Matthew Robinson,CDM,79,South Korea,Başakşehir,Süper Lig
Álvaro Thompson,RW,83,Belgium,Antalyaspor,Süper Lig
Benjamin Hernandez,RB,85,Japan,Toronto FC,MLS
João Santos,CAM,84,Egypt,Al Wehda,SPL
Caleb Çelik,RM,79,Argentina,Fiorentina,Serie A
Anthony Nguyen,RM,85,Russia,Shandong Taishan,CSL
Çağlar Hill,RB;CM,66,Morocco,Villarreal,La Liga
Santiago Taylor 3,GK,78,Colombia,Sivasspor,Süper Lig
João Doğan,RM,84,Chile,Inter Milan,Serie A
Ryan Adams 3,ST;CDM,77,Chile,Bayer Leverkusen,Bundesliga
Elijah Walker,RWB,67,Ecuador,Zhejiang,CSL
Nicolás Harris,RM,71,Brazil,Athletic Club,La Liga
Samuel Young,CAM,82,Cameroon,Inter Milan,Serie A
Jacob Şahin,RWB,74,Tunisia,Adana Demirspor,Süper Lig
Matthew Allen,CAM,72,Uruguay,Bayer Leverkusen,Bundesliga
Elijah Smith,RWB;ST,75,Mexico,Twente,Eredivisie
Alexander Harris,LM,77,England,Roma,Serie A
Carter Pereira 3,LB,88,Serbia,Nice,Ligue 1
Jayden Lopez 3,LWB,86,Cameroon,Al Ittihad,SPL
Samuel Martinez,CAM,72,Brazil,Antalyaspor,Süper Lig
Jayden Rodriguez,LW,82,Senegal,West Ham United,Premier League
